	0	1	2
00451-01	1592.81	556.685	1216.044414941039
00451-02	1591.7624040864737	559.176968305919	1215.6885301320287
00451-03	1590.7862001032202	561.499113089962	1214.6451286666054
00451-04	1589.9479147384445	563.493184022622	1212.9853166303346
00451-05	1589.3046757544246	565.0232884651965	1210.8222074705193
00451-06	1588.9003188249183	565.985152328541	1208.303213501694
00451-07	1588.7624002064401	566.3132261799238	1205.6
00451-08	1588.9003188249183	565.985152328541	1202.8967864983058
00451-09	1589.3046757544246	565.0232884651965	1200.3777925294805
00451-10	1589.9479147384445	563.493184022622	1198.2146833696652
00451-11	1590.7862001032202	561.499113089962	1196.5548713333944
00451-12	1591.7624040864737	559.176968305919	1195.511469867971
00451-13	1592.81	556.685	1195.155585058961
00451-14	1593.8575959135262	554.1930316940809	1195.511469867971
00451-15	1594.8337998967797	551.8708869100379	1196.5548713333944
00451-16	1595.6720852615554	549.8768159773779	1198.2146833696652
00451-17	1596.3153242455753	548.3467115348034	1200.3777925294805
00451-18	1596.7196811750816	547.3848476714589	1202.8967864983058
00451-19	1596.8575997935598	547.056773820076	1205.6
00451-20	1596.7196811750816	547.3848476714589	1208.303213501694
00451-21	1596.3153242455753	548.3467115348034	1210.8222074705193
00451-22	1595.6720852615554	549.8768159773779	1212.9853166303346
00451-23	1594.8337998967797	551.8708869100379	1214.6451286666054
00451-24	1593.8575959135262	554.1930316940809	1215.6885301320287
00452-01	1592.81	556.685	1283.044414941039
00452-02	1591.7624040864737	559.176968305919	1282.6885301320287
00452-03	1590.7862001032202	561.499113089962	1281.6451286666054
00452-04	1589.9479147384445	563.493184022622	1279.9853166303346
00452-05	1589.3046757544246	565.0232884651965	1277.8222074705193
00452-06	1588.9003188249183	565.985152328541	1275.303213501694
00452-07	1588.7624002064401	566.3132261799238	1272.6
00452-08	1588.9003188249183	565.985152328541	1269.8967864983058
00452-09	1589.3046757544246	565.0232884651965	1267.3777925294805
00452-10	1589.9479147384445	563.493184022622	1265.2146833696652
00452-11	1590.7862001032202	561.499113089962	1263.5548713333944
00452-12	1591.7624040864737	559.176968305919	1262.511469867971
00452-13	1592.81	556.685	1262.155585058961
00452-14	1593.8575959135262	554.1930316940809	1262.511469867971
00452-15	1594.8337998967797	551.8708869100379	1263.5548713333944
00452-16	1595.6720852615554	549.8768159773779	1265.2146833696652
00452-17	1596.3153242455753	548.3467115348034	1267.3777925294805
00452-18	1596.7196811750816	547.3848476714589	1269.8967864983058
00452-19	1596.8575997935598	547.056773820076	1272.6
00452-20	1596.7196811750816	547.3848476714589	1275.303213501694
00452-21	1596.3153242455753	548.3467115348034	1277.8222074705193
00452-22	1595.6720852615554	549.8768159773779	1279.9853166303346
00452-23	1594.8337998967797	551.8708869100379	1281.6451286666054
00452-24	1593.8575959135262	554.1930316940809	1282.6885301320287
00453-01	1592.81	556.685	1350.044414941039
00453-02	1591.7624040864737	559.176968305919	1349.6885301320287
00453-03	1590.7862001032202	561.499113089962	1348.6451286666054
00453-04	1589.9479147384445	563.493184022622	1346.9853166303346
00453-05	1589.3046757544246	565.0232884651965	1344.8222074705193
00453-06	1588.9003188249183	565.985152328541	1342.303213501694
00453-07	1588.7624002064401	566.3132261799238	1339.6
00453-08	1588.9003188249183	565.985152328541	1336.8967864983058
00453-09	1589.3046757544246	565.0232884651965	1334.3777925294805
00453-10	1589.9479147384445	563.493184022622	1332.2146833696652
00453-11	1590.7862001032202	561.499113089962	1330.5548713333944
00453-12	1591.7624040864737	559.176968305919	1329.511469867971
00453-13	1592.81	556.685	1329.155585058961
00453-14	1593.8575959135262	554.1930316940809	1329.511469867971
00453-15	1594.8337998967797	551.8708869100379	1330.5548713333944
00453-16	1595.6720852615554	549.8768159773779	1332.2146833696652
00453-17	1596.3153242455753	548.3467115348034	1334.3777925294805
00453-18	1596.7196811750816	547.3848476714589	1336.8967864983058
00453-19	1596.8575997935598	547.056773820076	1339.6
00453-20	1596.7196811750816	547.3848476714589	1342.303213501694
00453-21	1596.3153242455753	548.3467115348034	1344.8222074705193
00453-22	1595.6720852615554	549.8768159773779	1346.9853166303346
00453-23	1594.8337998967797	551.8708869100379	1348.6451286666054
00453-24	1593.8575959135262	554.1930316940809	1349.6885301320287
00502-01	1566.18	620.017	1216.044414941039
00502-02	1565.1324040864738	622.5089683059191	1215.6885301320287
00502-03	1564.1562001032203	624.8311130899621	1214.6451286666054
00502-04	1563.3179147384446	626.8251840226221	1212.9853166303346
00502-05	1562.6746757544247	628.3552884651966	1210.8222074705193
00502-06	1562.2703188249184	629.317152328541	1208.303213501694
00502-07	1562.1324002064403	629.645226179924	1205.6
00502-08	1562.2703188249184	629.317152328541	1202.8967864983058
00502-09	1562.6746757544247	628.3552884651966	1200.3777925294805
00502-10	1563.3179147384446	626.8251840226221	1198.2146833696652
00502-11	1564.1562001032203	624.8311130899621	1196.5548713333944
00502-12	1565.1324040864738	622.5089683059191	1195.511469867971
00502-13	1566.18	620.017	1195.155585058961
00502-14	1567.2275959135263	617.525031694081	1195.511469867971
00502-15	1568.2037998967799	615.202886910038	1196.5548713333944
00502-16	1569.0420852615555	613.208815977378	1198.2146833696652
00502-17	1569.6853242455754	611.6787115348035	1200.3777925294805
00502-18	1570.0896811750818	610.716847671459	1202.8967864983058
00502-19	1570.2275997935599	610.3887738200762	1205.6
00502-20	1570.0896811750818	610.716847671459	1208.303213501694
00502-21	1569.6853242455754	611.6787115348035	1210.8222074705193
00502-22	1569.0420852615555	613.208815977378	1212.9853166303346
00502-23	1568.2037998967799	615.202886910038	1214.6451286666054
00502-24	1567.2275959135263	617.525031694081	1215.6885301320287
00503-01	1566.18	620.017	1283.044414941039
00503-02	1565.1324040864738	622.5089683059191	1282.6885301320287
00503-03	1564.1562001032203	624.8311130899621	1281.6451286666054
00503-04	1563.3179147384446	626.8251840226221	1279.9853166303346
00503-05	1562.6746757544247	628.3552884651966	1277.8222074705193
00503-06	1562.2703188249184	629.317152328541	1275.303213501694
00503-07	1562.1324002064403	629.645226179924	1272.6
00503-08	1562.2703188249184	629.317152328541	1269.8967864983058
00503-09	1562.6746757544247	628.3552884651966	1267.3777925294805
00503-10	1563.3179147384446	626.8251840226221	1265.2146833696652
00503-11	1564.1562001032203	624.8311130899621	1263.5548713333944
00503-12	1565.1324040864738	622.5089683059191	1262.511469867971
00503-13	1566.18	620.017	1262.155585058961
00503-14	1567.2275959135263	617.525031694081	1262.511469867971
00503-15	1568.2037998967799	615.202886910038	1263.5548713333944
00503-16	1569.0420852615555	613.208815977378	1265.2146833696652
00503-17	1569.6853242455754	611.6787115348035	1267.3777925294805
00503-18	1570.0896811750818	610.716847671459	1269.8967864983058
00503-19	1570.2275997935599	610.3887738200762	1272.6
00503-20	1570.0896811750818	610.716847671459	1275.303213501694
00503-21	1569.6853242455754	611.6787115348035	1277.8222074705193
00503-22	1569.0420852615555	613.208815977378	1279.9853166303346
00503-23	1568.2037998967799	615.202886910038	1281.6451286666054
00503-24	1567.2275959135263	617.525031694081	1282.6885301320287
00504-01	1566.18	620.017	1350.044414941039
00504-02	1565.1324040864738	622.5089683059191	1349.6885301320287
00504-03	1564.1562001032203	624.8311130899621	1348.6451286666054
00504-04	1563.3179147384446	626.8251840226221	1346.9853166303346
00504-05	1562.6746757544247	628.3552884651966	1344.8222074705193
00504-06	1562.2703188249184	629.317152328541	1342.303213501694
00504-07	1562.1324002064403	629.645226179924	1339.6
00504-08	1562.2703188249184	629.317152328541	1336.8967864983058
00504-09	1562.6746757544247	628.3552884651966	1334.3777925294805
00504-10	1563.3179147384446	626.8251840226221	1332.2146833696652
00504-11	1564.1562001032203	624.8311130899621	1330.5548713333944
00504-12	1565.1324040864738	622.5089683059191	1329.511469867971
00504-13	1566.18	620.017	1329.155585058961
00504-14	1567.2275959135263	617.525031694081	1329.511469867971
00504-15	1568.2037998967799	615.202886910038	1330.5548713333944
00504-16	1569.0420852615555	613.208815977378	1332.2146833696652
00504-17	1569.6853242455754	611.6787115348035	1334.3777925294805
00504-18	1570.0896811750818	610.716847671459	1336.8967864983058
00504-19	1570.2275997935599	610.3887738200762	1339.6
00504-20	1570.0896811750818	610.716847671459	1342.303213501694
00504-21	1569.6853242455754	611.6787115348035	1344.8222074705193
00504-22	1569.0420852615555	613.208815977378	1346.9853166303346
00504-23	1568.2037998967799	615.202886910038	1348.6451286666054
00504-24	1567.2275959135263	617.525031694081	1349.6885301320287
00553-01	1538.79	685.192	1216.044414941039
00553-02	1537.7424040864737	687.683968305919	1215.6885301320287
00553-03	1536.7662001032202	690.006113089962	1214.6451286666054
00553-04	1535.9279147384445	692.0001840226221	1212.9853166303346
00553-05	1535.2846757544246	693.5302884651966	1210.8222074705193
00553-06	1534.8803188249183	694.492152328541	1208.303213501694
00553-07	1534.7424002064402	694.8202261799239	1205.6
00553-08	1534.8803188249183	694.492152328541	1202.8967864983058
00553-09	1535.2846757544246	693.5302884651966	1200.3777925294805
00553-10	1535.9279147384445	692.0001840226221	1198.2146833696652
00553-11	1536.7662001032202	690.006113089962	1196.5548713333944
00553-12	1537.7424040864737	687.683968305919	1195.511469867971
00553-13	1538.79	685.192	1195.155585058961
00553-14	1539.8375959135262	682.700031694081	1195.511469867971
00553-15	1540.8137998967798	680.377886910038	1196.5548713333944
00553-16	1541.6520852615554	678.3838159773779	1198.2146833696652
00553-17	1542.2953242455753	676.8537115348034	1200.3777925294805
00553-18	1542.6996811750817	675.891847671459	1202.8967864983058
00553-19	1542.8375997935598	675.5637738200761	1205.6
00553-20	1542.6996811750817	675.891847671459	1208.303213501694
00553-21	1542.2953242455753	676.8537115348034	1210.8222074705193
00553-22	1541.6520852615554	678.3838159773779	1212.9853166303346
00553-23	1540.8137998967798	680.377886910038	1214.6451286666054
00553-24	1539.8375959135262	682.700031694081	1215.6885301320287
00554-01	1538.79	685.192	1283.044414941039
00554-02	1537.7424040864737	687.683968305919	1282.6885301320287
00554-03	1536.7662001032202	690.006113089962	1281.6451286666054
00554-04	1535.9279147384445	692.0001840226221	1279.9853166303346
00554-05	1535.2846757544246	693.5302884651966	1277.8222074705193
00554-06	1534.8803188249183	694.492152328541	1275.303213501694
00554-07	1534.7424002064402	694.8202261799239	1272.6
00554-08	1534.8803188249183	694.492152328541	1269.8967864983058
00554-09	1535.2846757544246	693.5302884651966	1267.3777925294805
00554-10	1535.9279147384445	692.0001840226221	1265.2146833696652
00554-11	1536.7662001032202	690.006113089962	1263.5548713333944
00554-12	1537.7424040864737	687.683968305919	1262.511469867971
00554-13	1538.79	685.192	1262.155585058961
00554-14	1539.8375959135262	682.700031694081	1262.511469867971
00554-15	1540.8137998967798	680.377886910038	1263.5548713333944
00554-16	1541.6520852615554	678.3838159773779	1265.2146833696652
00554-17	1542.2953242455753	676.8537115348034	1267.3777925294805
00554-18	1542.6996811750817	675.891847671459	1269.8967864983058
00554-19	1542.8375997935598	675.5637738200761	1272.6
00554-20	1542.6996811750817	675.891847671459	1275.303213501694
