PMT_ID	SM_ID	x	y	z
00451-00	217.0	1592.81	556.685	1205.6
00452-00	217.0	1592.81	556.685	1272.6
00453-00	217.0	1592.81	556.685	1339.6
00502-00	217.0	1566.18	620.017	1205.6
00503-00	217.0	1566.18	620.017	1272.6
00504-00	217.0	1566.18	620.017	1339.6
00553-00	217.0	1538.79	685.192	1205.6
00554-00	217.0	1538.79	685.192	1272.6
00555-00	217.0	1538.79	685.192	1339.6
00604-00	217.0	1512.16	748.524	1205.6
00605-00	217.0	1512.16	748.524	1272.6
00606-00	217.0	1512.16	748.524	1339.6
00655-00	218.0	1477.66	814.519	1205.6
00656-00	218.0	1477.66	814.519	1272.6
00657-00	218.0	1477.66	814.519	1339.6
00706-00	218.0	1440.85	872.524	1205.6
00707-00	218.0	1440.85	872.524	1272.6
00708-00	218.0	1440.85	872.524	1339.6
00757-00	218.0	1402.97	932.218	1205.6
00758-00	218.0	1402.97	932.218	1272.6
00759-00	218.0	1402.97	932.218	1339.6
00808-00	218.0	1366.16	990.224	1205.6
00809-00	218.0	1366.16	990.224	1272.6
00810-00	218.0	1366.16	990.224	1339.6
