x	y	z	feature_id	adjacent_bolt_dist
1582.9586022936273	553.6852444004392	1237.1948550821548	00451-01	7.778772648196811
1585.1171996777762	546.3009048658839	1236.0453809050264	00451-02	7.7601200672646415
1587.408483860861	539.5432904904885	1232.9951139979905	00451-03	7.759681540154829
1590.0919902530343	533.9274885784199	1228.3610855202844	00451-04	7.684229496749986
1591.6387571943687	529.5716006397635	1222.2225893482741	00451-05	7.549804688763514
1591.981005981552	526.9030357481607	1215.1684290137302	00451-06	7.97342416350382
1592.2158169106726	526.118792205596	1207.237141679088	00451-07	7.502336669119768
1592.1393613235582	526.3894767088868	1199.7400795918636	00451-08	7.59734170261419
1591.559731677891	529.4924228656422	1192.8295546068555	00451-09	7.816936119269964
1589.6519919194957	533.6313037540158	1186.4785952857103	00451-10	7.942278208093311
1587.4556827412584	539.4815527573697	1181.576494131399	00451-11	7.591398924902588
1585.4394363287308	546.3127849162992	1178.9500221190237	00451-12	7.609117631960985
1582.6411334725613	553.2798887955273	1177.7140464727358	00451-13	7.59191708497468
1580.054529269002	560.3744306978432	1178.4977293904672	00451-14	7.880027817517206
1577.2804589596903	567.1313917806887	1181.4545603374022	00451-15	7.582819744432294
1574.553997542438	572.4007526441006	1186.1767843375878	00451-16	7.76465339651623
1572.996028732482	576.9189042985005	1192.296333437242	00451-17	7.574865390122399
1571.710726120628	579.547822984915	1199.2831330919234	00451-18	7.486066375697419
1571.5948984359663	580.6739239348633	1206.6831108202236	00451-19	8.092675479545148
1572.2331809730692	579.8414993527383	1214.7075149186683	00451-20	7.67977948359342
1572.570576399354	577.0210982303133	1221.8426753759788	00451-21	7.645377724293497
1574.7151794476977	572.7723571867365	1227.8260421420048	00451-22	7.693113568520491
1577.0387651062754	567.1734542443554	1232.562837673501	00451-23	7.976903863009298
1579.2574808386858	560.2812399307577	1235.9103259249944	00451-24	7.6717320218974265
1582.09689954835	553.3524009434598	1303.0112988925894	00452-01	7.6351734397606625
1584.2582159818794	546.0925173936224	1302.0528232423076	00452-02	7.669755563753527
1586.8954708029703	539.5112035067907	1299.1277001783396	00452-03	7.6924029387105435
1589.5079366158645	533.8969898773872	1294.563854138938	00452-04	8.08222094042133
1591.1282835248114	529.309066373773	1288.11034895575	00452-05	7.745896228741466
1592.3349231519896	526.8771919746137	1280.8557699808357	00452-06	7.623560207410973
1592.3557692879926	525.6172651511547	1273.3370719503146	00452-07	7.905755771339388
1592.336924537387	526.7342033283163	1265.510638005034	00452-08	7.639003029355659
1590.913031788127	529.2781122697315	1258.4498006595843	00452-09	7.816828077772737
1589.9522900313427	534.0033131260329	1252.2973821642415	00452-10	7.651376904153681
1587.3527777399418	539.5155265094397	1247.67119496612	00452-11	7.5518408768855405
1584.9650642435186	546.1240405079861	1244.9041265499413	00452-12	7.857071081315833
1582.5562651472983	553.5313377534387	1243.8730104515273	00452-13	7.533063464013788
1579.97222074681	560.5342901378767	1244.8871197111532	00452-14	7.781387763030307
1576.703939614734	566.9815833694453	1247.7682208802419	00452-15	7.626346798405132
1574.210286924344	572.5605168593801	1252.3309352986707	00452-16	7.279344371481229
1572.1538673638397	576.1753082615818	1258.3053203037034	00452-17	7.985659887540508
1571.2895722112191	579.5385739723494	1265.4964399305352	00452-18	7.593755748254656
1571.4263156167435	580.8024057718372	1272.983038409671	00452-19	7.981944979623424
1571.6207420550384	579.6722482547308	1280.8821768439786	00452-20	7.6395995187321235
1572.209549050804	576.7076180128296	1287.8984261737241	00452-21	7.571277711994475
1573.815406582395	572.3515099886931	1293.8792112946285	00452-22	7.933801026605409
1575.8250276552621	566.5905017047977	1298.9504444214076	00452-23	7.690929078420991
1579.5351333298806	560.4684361186049	1301.7621732367131	00452-24	7.665567015959219
1581.9375215081384	553.6385197508802	1369.1251201992204	00453-01	7.884511087601969
1584.3238577932416	546.2464268540886	1367.7731302472898	00453-02	7.718594019601546
1586.4920435955723	539.5284003158483	1364.6516268598978	00453-03	7.53811250422738
1588.9764333358323	534.0054112732481	1360.1630257659936	00453-04	7.597216255606442
1590.5402941594598	529.4915274197995	1354.2556670739596	00453-05	7.613586513220075
1591.1195265514007	526.7199678709528	1347.1881606468235	00453-06	7.825922569326748
1591.6226909657887	526.1583630551729	1339.3986491304263	00453-07	7.706503569318711
1592.5185530161616	526.9642796018693	1331.7869392719	00453-08	7.758676313670998
1591.355913812833	529.69340377845	1324.6177545586984	00453-09	7.58132462750329
1589.5446304600212	533.8912383516442	1318.570116952202	00453-10	7.766289472110614
1587.7256731360474	539.7119410008322	1313.7611599875459	00453-11	7.720375632283785
1584.6148105941234	546.2180815498275	1311.0049181067352	00453-12	7.806457660097307
1582.4368749039354	553.6321800727641	1309.8965317027735	00453-13	7.796035133852355
1579.1497963879726	560.6049140985288	1311.060257978192	00453-14	7.517784295233178
1576.2194514715297	566.8635990943272	1314.0198223893342	00453-15	7.793972532603738
1574.0618340175356	572.7229322332008	1318.684467062715	00453-16	7.495619975131322
1572.0074743602734	576.8639629321195	1324.5849577169583	00453-17	7.367363210798472
1570.730509383681	579.5625389612055	1331.3203187721376	00453-18	7.612504434735543
