x	y	z	feature_id
1505.055410271678	736.5466352216893	1310.977938105673	00606-12
1416.0222210960208	890.9994103952827	1347.1106298627453	00708-20
1428.3457884332238	873.967716284548	1177.042858421411	00706-14
1361.0150112830538	978.0768563938534	1244.2754475980023	00809-12
1341.7854586701405	1005.0623485146548	1191.4774707098657	00808-17
1591.1282835248114	529.309066373773	1288.11034895575	00452-05
1490.7352457032832	769.8605880091022	1347.0404631848735	00606-20
1424.3318735933806	879.8250737927947	1364.9877692585865	00708-23
1562.6238767256038	602.0593761101469	1231.5151761543593	00502-03
1586.8954708029703	539.5112035067907	1299.1277001783396	00452-03
1454.5686519402955	830.381727482923	1258.5091098111939	00656-17
1352.0799869907164	989.0716207962569	1369.2365658986341	00810-24
1483.4891565222654	783.7102535035995	1340.0861785104264	00657-07
1587.408483860861	539.5432904904885	1232.9951139979905	00451-03
1559.6451774505533	608.5904181829776	1234.7683344325437	00502-02
1464.1497017573822	815.1721998835844	1235.891239043236	00655-24
1519.838994024531	704.6553819326298	1221.3999104838963	00553-21
1378.6330865783648	950.7414094670743	1198.6749571372775	00757-18
1520.946064944424	699.8954437029354	1185.6236183997069	00553-16
1508.3829768222067	729.7512978693359	1298.3464012768613	00605-03
1589.6519919194957	533.6313037540158	1186.4785952857103	00451-10
1577.2804589596903	567.1313917806887	1181.4545603374022	00451-15
1368.3241784446968	966.5624104082126	1227.4233058656025	00808-04
1394.5111838618739	926.5805593859196	1303.1357633835453	00758-01
1445.8181659653396	845.0834723529116	1257.8102176653329	00707-09
1452.617243681056	833.1250501839882	1347.5559558526556	00657-20
1402.9126804006166	914.6910414354161	1180.0073066082928	00757-11
1566.3215806021722	590.0815877223661	1331.182170943896	00504-08
1584.6148105941234	546.2180815498275	1311.0049181067352	00453-12
1369.043932909105	966.6255195835395	1318.8120370052939	00810-10
1352.190726570862	990.0684615068561	1235.314292221093	00808-24
1570.730509383681	579.5625389612055	1331.3203187721376	00453-18
1339.5976374001343	1008.4248638663208	1206.4305035651796	00808-19
1548.1114307021594	635.2027972676215	1293.5697782642042	00503-22
1340.2318992736543	1007.5930467620865	1198.628393798098	00808-18
1380.5153473501514	948.3741897530009	1287.9174928067803	00758-21
1365.281414238211	971.6457430335009	1314.0255788126494	00810-11
1512.676223680095	720.193049999158	1324.2809263464032	00606-09
1576.2194514715297	566.8635990943272	1314.0198223893342	00453-15
1467.9422427065142	808.943137411951	1303.5491827494286	00656-01
1534.7915149695784	667.4027290466253	1365.008637317811	00555-03
1522.9609745087769	693.9422196658314	1298.9167885753027	00554-23
1398.531712965091	919.9291432361487	1301.901334451841	00758-02
1520.7441019294808	700.2017683833081	1318.6863621500165	00555-16
1544.1149756085897	642.3079794420318	1346.6829076710926	00504-20
1574.553997542438	572.4007526441006	1186.1767843375878	00451-16
1510.6551028849753	723.6836087026948	1184.9785977733377	00604-10
1499.3673663061245	750.6030822176479	1367.8863962401176	00606-24
1572.0074743602734	576.8639629321195	1324.5849577169583	00453-17
1550.2532747788607	629.4132646999817	1298.2081915326587	00503-23
1495.7866523350035	756.6000475872792	1231.7551237008204	00604-23
1544.8747243038256	643.0346492182919	1205.7838279912517	00502-19
1532.84483292092	673.7532256185559	1235.2586006467066	00553-02
1502.5488910357153	743.6156091288656	1235.9584670328702	00604-01
1432.6475221503772	867.3640004028675	1369.2524239062525	00708-01
1420.228107349283	884.4320443905985	1226.7962613882114	00706-22
1446.5232766599538	876.1923105108781	1272.8008496322159	00707-00
1475.270771878163	795.3801905220234	1248.0243285629913	00656-11
1417.9971461507748	888.6801308001137	1354.3248748064104	00708-21
1454.5254241313964	830.5131496983691	1324.8191518914273	00657-17
1555.8734988413353	616.4776330350895	1309.9466797715115	00504-13
1572.2331809730692	579.8414993527383	1214.7075149186683	00451-20
1546.054459743448	687.3213751376734	1272.8010046624597	00554-00
1427.6131087194356	873.0264440146536	1301.700597172604	00707-24
1409.7567287911709	902.4745969725318	1264.6887968056342	00758-08
1478.7136728441537	790.1695595772673	1252.7628396990026	00656-10
1592.1393613235582	526.3894767088868	1199.7400795918636	00451-08
1379.9814324093165	948.1899060162148	1258.2761246955174	00758-17
1479.814273916399	791.1737523435311	1294.9362424062467	00656-04
1408.9778630545516	905.294562568131	1354.4294866463829	00759-05
1371.8439306055252	963.5354752291021	1287.8601261345686	00809-05
1457.4301913628458	827.0112791058256	1294.3542653485401	00656-22
1410.2669006430979	901.8849296834422	1272.674344488805	00758-07
1352.2054463341021	990.4235731447035	1302.2678455913986	00809-24
1452.7070175878673	832.9498883101759	1281.090896588633	00656-20
1520.7664069183572	699.8287840497302	1252.3611898317479	00554-16
1424.608055328543	879.9896180061162	1179.8890419967556	00706-15
1512.4628610043774	719.4677635722466	1190.9303472937584	00604-09
1561.917663806993	603.0644818167508	1313.275427583667	00504-11
1526.003364755717	687.9944568827028	1310.6936552270174	00555-14
1545.7639912205113	639.4546988544023	1257.9008912798276	00503-17
1348.0790902789813	996.443618381006	1232.1990204370913	00808-23
1365.3381121612163	971.1991451479729	1365.643139353972	00810-03
1432.279902145207	866.8759826019295	1243.043650443793	00707-13
1511.2712365570753	724.0972038570176	1251.6140867983024	00605-10
1378.626579003879	952.0087894004812	1273.1257093198444	00758-19
1585.1171996777762	546.3009048658839	1236.0453809050264	00451-02
1424.4170053758025	879.6337729314233	1298.547226842466	00707-23
1564.2230124479013	596.211708426627	1226.9744834419428	00502-04
1467.8999792161553	808.3323951566184	1243.8515843146072	00656-13
1457.5248718622927	827.2148480159382	1360.6001699607746	00657-22
1490.7708263112152	766.3185432319592	1324.6696969609338	00606-17
1447.4883096254277	842.3945008795054	1213.4379043617735	00706-06
1489.2431846501368	769.7381101929783	1206.1138509441978	00604-19
1452.3035178577268	833.0201195493244	1198.6398767857595	00655-18
1529.7859867068203	681.0007105889426	1243.6820403352049	00554-13
1544.8277919298662	642.4777471438708	1331.527919048864	00504-18
1356.5925135901175	983.2210440191172	1310.7619586237063	00810-13
1538.591777562161	657.3361926950321	1354.4213370360308	00555-05
1432.04914040019	867.2333948848241	1309.7101072817477	00708-13
1572.209549050804	576.7076180128296	1287.8984261737241	00452-21
1592.5185530161616	526.9642796018693	1331.7869392719	00453-08
1517.637893665906	707.3254383861022	1331.727271988725	00555-18
1581.9375215081384	553.6385197508802	1369.1251201992204	00453-01
1586.4920435955723	539.5284003158483	1364.6516268598978	00453-03
1590.913031788127	529.2781122697315	1258.4498006595843	00452-09
1550.6498686618766	629.97212716606	1313.482149740404	00504-15
1460.8151334398392	821.6598722428336	1232.5780508320515	00655-23
1518.5918793275723	704.2762123074698	1324.9263231015134	00555-17
1597.5701146118076	559.8412106561004	1207.7253953475215	00451-00
1361.5767971541168	977.077660055276	1368.820505037826	00810-02
1432.1652749453933	866.8799844260827	1302.6818141688414	00707-01
1592.336924537387	526.7342033283163	1265.510638005034	00452-08
1344.696201050471	1001.6387423162693	1252.2157018878854	00809-16
1456.9684252050702	826.4977241237754	1318.821946977656	00657-16
1579.1497963879726	560.6049140985288	1311.060257978192	00453-14
1479.917927857582	785.4570484764572	1191.7190004794081	00655-09
1541.1727394787952	654.5810249349722	1214.0747907668592	00553-06
1370.7181444055093	962.6384464729056	1257.956609695881	00809-09
1582.4368749039354	553.6321800727641	1309.8965317027735	00453-13
1471.2523250391043	801.5407411516798	1177.9983106649217	00655-12
1379.0863437811417	951.0179639707185	1280.850979941895	00758-20
1361.314405749707	977.8153557055596	1177.463234307102	00808-12
1495.6312537378951	756.3699876918365	1180.4742205745445	00604-15
1572.459877602447	623.591371775341	1338.713816602763	00504-00
1379.329918537832	950.7251267691519	1332.3356325585212	00759-18
1591.6226909657887	526.1583630551729	1339.3986491304263	00453-07
1371.2832986026372	962.7240470156783	1220.880536001276	00808-05
1380.7215357855318	948.5516869553364	1191.3804380789038	00757-17
1585.4394363287308	546.3127849162992	1178.9500221190237	00451-12
1492.310248549809	767.2729479378074	1354.1365183426713	00606-21
1345.3231942777072	1001.1257527530665	1319.2749197578316	00810-16
1574.210286924344	572.5605168593801	1252.3309352986707	00452-16
1356.7682145137355	983.913465925984	1303.3656541248067	00809-01
1508.5086422471902	729.4857887080589	1180.122746423833	00604-11
1402.8840608605813	913.9741453174487	1314.1453835092307	00759-11
1386.352310631664	938.8693505214816	1232.3500619565812	00757-23
1373.0336050718363	959.5084248654346	1272.8518322809732	00809-07
1540.492845450159	654.0815302543173	1198.7072462988099	00553-08
1523.314172232994	694.1508942046066	1247.5992232284877	00554-15
1418.342944671676	889.0377840144755	1190.8990845688672	00706-17
1399.199131641593	920.7229027526921	1177.2648820334753	00757-12
1410.8635192234167	902.979411707701	1347.420663549112	00759-06
1468.40595064419	809.1388604695218	1309.8333330024786	00657-13
1579.2574808386858	560.2812399307577	1235.9103259249944	00451-24
1408.3480596303866	935.469960387853	1272.9330946975576	00758-00
1552.5388522398937	622.6916581641158	1244.0601922773392	00503-14
1534.6422209445054	666.9155444302867	1247.480201649018	00554-11
1544.6288769703287	642.2264075705933	1264.9460513528236	00503-18
1432.157183007149	866.7832067812018	1236.007788116419	00706-01
1512.1625424435097	719.1813594702944	1257.8106865741474	00605-09
1574.0618340175356	572.7229322332008	1318.684467062715	00453-16
1395.1143234115825	926.8632205063216	1369.8435762958902	00759-01
1550.0814503949	629.8800173519355	1364.3656601922382	00504-23
1348.1479881516875	995.1265523087535	1366.2487731537083	00810-23
1548.192699356685	634.8452007098364	1227.2192247208927	00502-22
1364.6573011649964	971.4793923906457	1247.287143041499	00809-11
1571.5948984359663	580.6739239348633	1206.6831108202236	00451-19
1537.2279980117905	661.7321767356441	1318.6277068458521	00555-10
1508.241264600677	729.7862170734292	1364.7290577847257	00606-03
1481.9481592255368	787.1267813452025	1288.6650073468475	00656-05
1489.6490294221705	768.8755137456554	1265.102281882959	00605-18
1368.437564209195	966.5504739031221	1251.944451213195	00809-10
1558.8090563195287	609.5487613140652	1310.7759576212115	00504-12
1574.7151794476977	572.7723571867365	1227.8260421420048	00451-22
1428.10764016492	873.4666526560034	1243.8536027813577	00707-14
