feature_id	image_id	x	y
00606-12	045	3240.2166319189487	2522.4454363800237
00708-20	045	2443.9445146342036	2376.7655043046407
00809-12	045	2004.3180959286324	2794.3421140444098
00808-17	045	1873.0905143568257	2993.2094115436767
00606-20	045	3078.907752016039	2364.1734349589115
00708-23	045	2505.0285190457944	2297.565264008281
00656-17	045	2759.6388147952903	2744.1770694401353
00810-24	045	1926.7738611898187	2283.7416994172077
00657-07	045	3008.2939775736304	2395.216815529575
00655-24	045	2836.0160748410194	2834.790610461032
00757-18	045	2145.4427350266865	2974.4971908840466
00605-03	045	3272.885020335886	2576.8894300626566
00808-04	045	2063.5023753215874	2861.93270715749
00758-01	045	2262.878217692876	2561.4717465626272
00707-09	045	2684.5257187666202	2747.169211550983
00657-20	045	2749.4591412418554	2369.8043639814423
00810-10	045	2055.602238044061	2494.371017127407
00808-24	045	1942.5971442419439	2828.6906794626616
00808-19	045	1854.3429523604823	2936.2533848845405
00808-18	045	1859.901649267739	2965.6766787732586
00758-21	045	2151.5565266483736	2622.932733793061
00810-11	045	2028.9923881309032	2514.4032497516146
00606-09	045	3324.0200110128553	2464.7530086982756
00656-01	045	2874.4184604353163	2555.017204414281
00555-03	045	3595.0719631868537	2284.648145649387
00554-23	045	3451.973259892068	2578.710106677183
00758-02	045	2296.860392137605	2567.025436732778
00555-16	045	3423.2635809111125	2490.9330348675076
00606-24	045	3176.070596798034	2272.4555470617233
00604-23	045	3129.2887019246573	2854.294498274462
00604-01	045	3195.2659189350743	2837.7451962187806
00708-01	045	2571.732227396127	2277.5163241191394
00706-22	045	2478.994294493989	2873.0016204994504
00707-00	045	2567.7342236013183	2659.049821452277
00656-11	045	2937.157415083309	2785.8803219512233
00708-21	045	2457.0459196635347	2345.053605707906
00657-17	045	2763.077156039858	2467.02784892083
00554-00	045	3500.828060620809	2662.5563892108617
00707-24	045	2539.585272782659	2568.233015301167
00758-08	045	2388.6756446129452	2719.639942572666
00656-10	045	2964.9248915528415	2765.639894255982
00758-17	045	2153.1839335453983	2743.2897015696317
00656-04	045	2967.2861245182858	2587.9953192417383
00759-05	045	2373.1665665028704	2343.906854739237
00809-05	045	2076.970962044143	2620.568429305471
00656-22	045	2781.1510736211058	2594.6154305377518
00758-07	045	2391.9079939065064	2687.0733133608237
00809-24	045	1932.3318535041237	2561.9204526750145
00656-20	045	2747.501919125092	2651.7936411751452
00555-14	045	3484.222792177948	2526.8644075121124
00808-23	045	1911.43850273443	2839.4944368545666
00810-03	045	2024.2822638479877	2298.006146119538
00707-13	045	2571.7331336300776	2807.1246178173537
00605-10	045	3294.751705321412	2775.6511042080156
00758-19	045	2135.4084605777784	2681.9584026892635
00707-23	045	2507.2702827621956	2580.369736907881
00656-13	045	2871.149496127061	2802.914457897566
00657-22	045	2783.0744782500074	2311.110949158402
00606-17	045	3092.363207877069	2463.211129282869
00706-06	045	2695.02224247287	2924.773529920218
00604-19	045	3060.1319387961653	2956.751767621633
00655-18	045	2739.508521448378	2984.6069962035654
00554-13	045	3511.9208545935535	2818.1827388060246
00810-13	045	1966.9319030373258	2528.2169970344353
00708-13	045	2571.6175210165043	2533.373251997782
00655-23	045	2803.65902464335	2847.3515777719067
00810-02	045	1993.6056245153236	2284.316831776434
00707-01	045	2573.1606947987075	2562.9782536008156
00809-16	045	1882.6942722201065	2760.6574179058566
00657-16	045	2783.718120051588	2492.2579447397957
00809-09	045	2079.9194131430345	2742.9155656281455
00758-20	045	2139.3357867582904	2651.0887193070607
00504-00	045	3832.8798229020067	2383.7905248912207
00759-18	045	2136.2339107673038	2438.6624199197922
00808-05	045	2084.6508116017662	2887.0877738410554
00606-21	045	3092.8230592359782	2332.7357851160555
00810-16	045	1875.9087303141243	2491.014517929612
00809-01	045	1966.16983858726	2557.748834465876
00759-11	045	2328.553832996945	2515.457259930471
00757-23	045	2203.30312064908	2846.0967251986203
00809-07	045	2095.1740158303546	2683.350000193127
00759-06	045	2386.712216804101	2373.4183460120717
00657-13	045	2874.889992368157	2527.6794827770077
00758-00	045	2267.7689750829127	2658.8389246327906
00706-01	045	2571.5199781556903	2835.518948604642
00605-09	045	3318.797872598047	2752.307809272696
00759-01	045	2258.46332083865	2278.488727102389
00810-23	045	1896.1464877400485	2296.2120825446764
00809-11	045	2035.4079362979483	2784.3921726857006
00606-03	045	3279.5079239877673	2286.430327921578
00656-05	045	2986.970780228766	2614.3303411999223
00605-18	045	3072.8631452494483	2715.6506689225553
00809-10	045	2061.3941648810237	2765.8941078644343
00707-14	045	2537.833050500174	2803.9191992565457
00655-00	045	2855.3058960828394	2918.371833620058
00809-22	045	1877.2476737644624	2592.312476780022
00655-03	045	2932.609702471623	2846.3598696874315
00759-09	045	2374.54523461383	2470.105056325093
00708-08	045	2700.1178870134754	2438.106849876571
00759-16	045	2170.6890240126995	2495.2235285328843
00606-10	045	3302.9641726552977	2491.3740574006533
00605-05	045	3320.766973512742	2622.223946965824
00657-09	045	2990.3771200169363	2460.1203728166874
00656-19	045	2742.2029345891815	2684.669969069909
00655-22	045	2775.429391039183	2867.327667372704
00759-17	045	2149.4178343246817	2468.6766917954255
00605-07	045	3336.675875802351	2687.1938364387415
00759-07	045	2389.964052502127	2405.911971004238
00605-14	045	3163.053795469341	2803.072402258921
00503-00	045	3831.772539431863	2677.3698293662083
00809-06	045	2090.1574329082014	2651.920714276238
00655-02	045	2902.078051046321	2834.7812780427744
00759-13	045	2263.073794067388	2531.7577876457294
00707-15	045	2506.572118352162	2791.8739730283155
00706-24	045	2538.3390962405765	2840.6771106841834
00657-06	045	3005.115856621085	2362.1808247948675
00657-00	045	2865.0306114180685	2377.761465803358
00808-08	045	2098.3425086484767	2973.92732070492
00655-04	045	2959.6200231263974	2865.1080978467735
00606-13	045	3206.5468924796055	2526.6451749078215
00706-05	045	2682.668234767051	2895.387277310143
00605-24	045	3171.731199519432	2561.067740421106
00606-06	045	3341.0201232347513	2365.655455590798
00606-05	045	3327.5653046867274	2333.164682152881
00758-10	045	2355.8416873300675	2770.604939187185
00757-06	045	2390.785871173709	2921.9556833688434
00706-07	045	2697.8182312209165	2954.8678506448227
00809-00	045	1979.171301158828	2653.042297060585
00656-12	045	2905.474877600092	2798.169545648995
00758-24	045	2229.015679173043	2566.461024771214
00657-14	045	2840.985977639757	2522.648555614451
00655-07	045	2995.816232597959	2950.014551433047
00708-24	045	2537.080039672816	2283.894592256809
00758-06	045	2387.7744134958753	2654.3214016357665
00810-01	045	1959.3677671514013	2279.0517572436574
00554-20	045	3383.6837231853215	2652.6348779543314
00605-13	045	3198.1164749273444	2808.7958390942135
00810-00	045	1972.1637865331654	2387.1236038127518
00810-15	045	1901.3785878442902	2511.7772328901247
00657-08	045	3004.2527619913017	2428.7528775814853
00757-20	045	2144.847491230731	2915.3219730769274
00656-00	045	2861.3414302095616	2654.6840639078055
00706-00	045	2565.282146572968	2922.579013307687
00707-06	045	2698.8834461150345	2654.640643028637
00708-10	045	2664.587773406008	2495.004527436384
00707-16	045	2480.5450988834323	2771.92574575021
00606-11	045	3273.1837486447107	2510.0390816138743
00707-04	045	2665.026051166403	2600.329890739145
00606-01	045	3211.7584569955434	2267.287402621695
00605-22	045	3111.2810760758925	2593.8327017641277
00707-17	045	2460.600468517532	2747.673205328032
00605-06	045	3333.490595321462	2653.179581545801
00605-04	045	3300.5167245583484	2596.8619907960465
00555-07	045	3662.842689375936	2399.5589166598547
00657-12	045	2909.315139091179	2521.4885518492497
00808-01	045	1973.9311411866954	2824.922709243192
00555-08	045	3656.870968860664	2435.7678846436174
00655-21	045	2754.8150580558295	2892.049973299525
00606-19	045	3073.743663257498	2397.7844787955714
00708-18	045	2443.5865785413635	2442.1024780422867
00757-24	045	2234.6706750635767	2834.144824491463
00656-06	045	2999.600387990818	2645.506583920943
00657-05	045	2992.0709804483013	2330.903647860471
00554-22	045	3422.484407736175	2597.8439958401086
00758-12	045	2297.833987823374	2800.578355425782
00758-18	045	2140.538752245351	2714.513448486986
00706-18	045	2444.8276048281464	2984.524173199593
00606-02	045	3247.2337286556594	2272.6221213467225
00555-13	045	3519.9722182504456	2531.250621644933
00655-05	045	2980.2221640889097	2889.4834683498348
00555-00	045	3507.2726970282747	2375.8523002624524
00809-15	045	1909.4372050334905	2780.270615189056
00809-20	045	1846.5849062475168	2646.1675152800635
00808-02	045	2006.8599489490368	2830.011977098779
00758-03	045	2327.9642359920535	2579.9403296739456
00554-04	045	3618.810125617402	2602.5568270590047
00759-12	045	2296.681032856832	2528.061721573543
00757-02	045	2301.2582391123783	2836.408790595051
00708-05	045	2686.6999878723045	2340.2400844952876
00708-06	045	2699.883190442738	2371.456742854445
00707-18	045	2446.859278054648	2718.1676382680407
00759-22	045	2165.90592296246	2318.7182858114447
00656-02	045	2908.4106636400143	2557.785417390546
00606-08	045	3339.2599260055495	2434.1350678851013
00809-13	045	1973.3534760952518	2796.905003694918
00657-03	045	2944.987353057456	2286.116765448045
00759-00	045	2264.401135761609	2386.5435900207844
00656-18	045	2746.4621014723416	2715.3465644886664
00605-16	045	3105.5588709576978	2770.055050210195
00707-05	045	2685.695419095063	2625.6853180075404
00810-22	045	1870.0248431603661	2316.3526409241786
00708-19	045	2439.2564978764685	2409.0662368352905
00809-17	045	1863.3508760741793	2735.6771674061365
00605-11	045	3266.012822357038	2794.686119311657
00809-04	045	2056.8392695428583	2596.801643063786
00606-18	045	3078.056209335162	2431.792857736378
00809-08	045	2092.198016095007	2714.6054620084315
00554-24	045	3483.7672026647833	2564.6525542663094
00758-14	045	2231.7510231775705	2798.120083540618
00655-01	045	2868.9656040007994	2829.759454488986
00655-08	045	2990.487424212748	2982.5517503128112
00759-14	045	2229.328867213273	2527.4490157875916
00555-09	045	3642.6194523298936	2466.9969432975645
00655-06	045	2991.1386511383753	2918.12590568397
00810-20	045	1838.7385614351585	2372.6364389204123
00657-19	045	2743.6623387045493	2402.9129359403955
00809-21	045	1858.0084230193888	2616.9818921263277
00808-03	045	2036.5829601537328	2843.8050207853994
00808-06	045	2097.6708749823597	2914.6852040762737
00706-03	045	2636.2387428156644	2853.215549673311
00810-05	045	2072.676273189825	2344.02164576386
00808-22	045	1886.8451672843346	2855.997636752874
00656-14	045	2837.7007784271673	2799.1944189014157
00810-06	045	2085.1463612192265	2374.5727253214486
00758-13	045	2265.6788168462194	2804.2850305904594
00707-03	045	2639.2962266262944	2580.49829211546
00758-23	045	2197.7109556150253	2579.5204442309873
00605-23	045	3139.034810060797	2573.821141062591
00707-12	045	2604.824790492004	2801.8040180786275
00810-12	045	1999.400028831322	2524.9228701236175
00604-24	045	3161.208057632808	2842.042989529723
00656-24	045	2840.105361633525	2560.792850578071
00707-07	045	2703.204511917581	2685.40270917405
00604-18	045	3063.8218929830623	2989.369173878361
00810-17	045	1855.037467460895	2465.366407020837
00554-19	045	3377.419939182457	2686.894007043739
00606-04	045	3307.1859732465696	2307.064633181917
00706-02	045	2605.470812210067	2839.973265977054
00657-24	045	2843.7281987024076	2276.1907629071334
00706-19	045	2440.209603288949	2955.756857613902
00606-15	045	3139.9031187590554	2509.4393842533686
00759-23	045	2193.230803978727	2297.436397655856
00810-09	045	2074.9253829894064	2469.860720051238
00758-16	045	2174.0341742376672	2767.9500662103565
00708-16	045	2478.4080104783943	2497.9841996152995
00657-15	045	2809.826261959094	2511.5622776200325
00758-05	045	2375.117578396992	2624.829684159294
00708-17	045	2458.640587778991	2474.7259159625223
00656-09	045	2985.2481350020066	2739.0445624941613
00759-21	045	2145.9946364693396	2344.009376483434
00554-02	045	3555.3273253913603	2566.51290909659
00757-05	045	2378.0626540564563	2893.1321096133206
00708-02	045	2606.35504692119	2282.1691933173433
00554-12	045	3548.604496047251	2816.043976183074
00707-21	045	2459.71149196661	2626.7377661284736
00554-05	045	3642.1305884706635	2631.8087959783415
00657-01	045	2877.762870664187	2269.0172266319
00708-07	045	2703.541723409285	2404.395827794967
00604-00	045	3184.9677848058373	2926.9562678948073
00759-08	045	2386.3081135760885	2439.6684390921787
00757-07	045	2394.177580091027	2952.7925273073024
00605-12	045	3234.6132424064035	2805.624446988035
00656-16	045	2780.581332965887	2769.421950117581
00708-22	045	2477.5183178030975	2318.4649447921206
00707-22	045	2480.6189633804147	2600.991823605954
00758-04	045	2354.8852321703152	2599.346111015436
00810-04	045	2052.0785780179503	2317.7759789736865
00605-21	045	3088.6057603564177	2619.7604606080185
00554-03	045	3590.966458403027	2581.6770258903675
00707-02	045	2607.58881094795	2567.501828775
00759-24	045	2224.572247248983	2284.475189732404
00757-08	045	2389.2724934827834	2981.601590037157
00605-02	045	3241.5125883601722	2563.64453209526
00656-08	045	2999.4271357767457	2709.252260433216
00809-02	045	1999.8467136913134	2562.578882446981
00757-00	045	2271.2565206163176	2913.929674200398
00706-20	045	2444.6644208505368	2925.0344230869
00707-11	045	2636.9851169682297	2791.8575896305183
00554-21	045	3399.6512203838	2624.1778689293424
00656-03	045	2939.9573483429876	2569.85690160759
00757-03	045	2331.43331865025	2850.8447222376008
00809-18	045	1849.4451879438552	2707.352260536738
00707-20	045	2446.008367720966	2655.472636897938
00604-04	045	3291.103303361034	2880.216148133967
00708-09	045	2685.81886174765	2469.225749653984
